image_id,image_path,ground_truth,predicted,sim_0,sim_1,sim_2,sim_3,p_0,p_1,p_2,p_3,stderr,returncode
40010001.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010001.png,1,0,31.048982620239258,29.862749099731445,27.230167388916016,27.727121353149414,0.7334557771682739,0.22397486865520477,0.0161021389067173,0.02646719664335251,,0
40010011.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010011.png,1,0,31.123014450073242,29.71748924255371,27.389747619628906,27.949451446533203,0.7627724409103394,0.18706095218658447,0.018241384997963905,0.03192523121833801,,0
40010021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010021.png,1,0,31.396284103393555,30.344837188720703,27.998287200927734,27.671825408935547,0.7107329964637756,0.24835267663002014,0.02376704476773739,0.017147256061434746,,0
40010029.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010029.png,1,0,31.697458267211914,30.73076057434082,28.056781768798828,27.905920028686523,0.6997252106666565,0.26613137125968933,0.01835700310766697,0.015786411240696907,,0
40010036.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010036.png,1,0,31.521230697631836,30.72500228881836,28.172012329101562,28.07248878479004,0.6587944030761719,0.2971339523792267,0.02313144877552986,0.020940175279974937,,0
40010037.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010037.png,1,0,31.20262336730957,30.347707748413086,27.865432739257812,27.886587142944336,0.6679348349571228,0.2840854227542877,0.023736167699098587,0.024243641644716263,,0
40010042.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010042.png,1,0,31.605688095092773,30.88629913330078,27.965042114257812,27.726242065429688,0.6519128680229187,0.31751400232315063,0.01710318960249424,0.01346999779343605,,0
40010049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010049.png,1,0,32.24040603637695,31.413667678833008,28.77214241027832,28.44198989868164,0.6706677675247192,0.2933996319770813,0.02090545929968357,0.015027139335870743,,0
40010044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010044.png,1,0,32.01313781738281,31.42654800415039,28.650205612182617,28.179805755615234,0.6201581954956055,0.34494492411613464,0.021478286013007164,0.013418611139059067,,0
40010054.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010054.png,1,0,31.870407104492188,30.71015739440918,28.082656860351562,27.71684455871582,0.739774763584137,0.23185127973556519,0.01675330474972725,0.01162064541131258,,0
