image_id,ground_truth,predicted,raw_answer
40010001.png,1,2,2
40010011.png,1,2,2
40010021.png,1,2,2
40010029.png,1,2,2
40010036.png,1,2,2
40010037.png,1,2,2
40010042.png,1,1,1
40010049.png,1,2,2
40010044.png,1,2,2
40010054.png,1,2,2
40010058.png,1,2,2
40010064.png,1,1,1
40010067.png,1,2,2
40010084.png,1,2,2
40010082.png,1,2,2
40010089.png,1,2,2
40010095.png,1,2,2
40010098.png,1,2,2
40010099.png,1,2,2
40010105.png,1,2,2
40010107.png,1,2,2
40010106.png,1,2,2
40010110.png,1,2,2
40010114.png,1,2,2
40010120.png,1,2,2
40010123.png,1,2,2
40010135.png,1,2,2
40020002.png,1,2,2
40020003.png,1,2,2
40020019.png,1,2,2
40020021.png,1,2,2
40020022.png,1,2,2
40020026.png,1,2,2
40020034.png,1,2,2
40020044.png,1,2,2
40020045.png,1,2,2
40020046.png,1,2,2
40020049.png,1,2,2
40020050.png,0,2,2
40020058.png,1,2,2
40020077.png,0,1,1
40020078.png,0,1,1
40020083.png,0,2,2
40020073.png,0,2,2
40020097.png,0,1,1
40020086.png,0,2,2
40020103.png,0,2,2
40020105.png,0,1,1
40020110.png,0,2,2
40020122.png,1,2,2
40020141.png,1,2,2
40020148.png,1,2,2
40020150.png,1,2,2
40020119.png,1,2,2
40020144.png,1,2,2
40020153.png,1,2,2
40020061.png,1,2,2
40020167.png,0,2,2
40020168.png,1,1,1
40020174.png,0,2,2
40020170.png,1,2,2
40020182.png,1,2,2
40020156.png,1,1,1
40020164.png,1,1,1
40020177.png,0,2,2
40020202.png,0,2,2
40020194.png,0,1,1
40020203.png,0,2,2
40020210.png,0,2,2
40020215.png,1,2,2
40020216.png,0,2,2
40020218.png,0,2,2
40030006.png,1,2,2
40020160.png,1,2,2
40020208.png,0,2,2
40020217.png,0,2,2
40020221.png,0,2,2
40020158.png,1,2,2
40030020.png,1,2,2
40030024.png,1,2,2
40030028.png,1,2,2
40030030.png,1,2,2
40030037.png,1,2,2
40020126.png,1,2,2
40030033.png,1,2,2
40030002.png,1,2,2
40030048.png,1,2,2
40030042.png,1,2,2
40030050.png,1,2,2
40030052.png,1,2,2
40030059.png,1,2,2
40030069.png,1,2,2
40030070.png,1,2,2
40030072.png,1,2,2
40030088.png,1,2,2
40030092.png,1,2,2
40030100.png,1,2,2
40030108.png,1,2,2
40030111.png,1,2,2
40030113.png,1,2,2
40030114.png,1,2,2
40030116.png,1,2,2
40030130.png,1,2,2
40030131.png,1,2,2
40030142.png,1,2,2
40030144.png,1,2,2
40030148.png,1,2,2
40030150.png,1,2,2
40030160.png,1,1,1
40030162.png,1,1,1
40030157.png,1,1,1
40030165.png,1,1,1
40030169.png,1,1,1
40030172.png,1,2,2
40030168.png,1,1,1
40030177.png,1,1,1
40030176.png,1,1,1
40030184.png,2,2,2
40030185.png,2,2,2
40030187.png,1,2,2
40030193.png,1,2,2
40030200.png,1,2,2
40030202.png,1,2,2
40030209.png,1,2,2
40030212.png,1,2,2
40030217.png,1,2,2
40030222.png,1,1,1
40030233.png,1,2,2
40030239.png,1,2,2
40030245.png,1,2,2
40030246.png,1,2,2
40030254.png,1,2,2
40030255.png,1,2,2
40030256.png,1,2,2
40030259.png,1,2,2
40030257.png,1,2,2
40030268.png,1,2,2
40030274.png,1,2,2
40030283.png,1,2,2
40030289.png,1,2,2
40030291.png,1,2,2
40030295.png,1,2,2
0001001.png,3,3,3
0001002.png,3,3,3
0001007.png,3,3,3
0001009.png,3,2,2
0001027.png,3,3,3
0001028.png,3,3,3
0001030.png,3,3,3
0001040.png,3,3,3
0001031.png,3,2,2
0001048.png,3,3,3
0001041.png,3,3,3
0001052.png,2,2,2
0001058.png,3,2,2
0001060.png,3,3,3
0001059.png,2,3,3
0001063.png,3,2,2
0001066.png,2,2,2
0001068.png,3,3,3
0001069.png,3,3,3
0001078.png,3,3,3
0001086.png,3,3,3
0001087.png,3,3,3
0002007.png,3,3,3
0002009.png,3,3,3
0002017.png,3,3,3
0002022.png,3,3,3
0002018.png,3,3,3
0002025.png,2,3,3
0002029.png,3,2,2
0002034.png,3,3,3
0002036.png,3,3,3
0002041.png,3,3,3
0002043.png,3,2,2
0002044.png,3,3,3
0002045.png,2,3,3
0002052.png,3,2,2
0002053.png,3,3,3
0002059.png,3,3,3
0002075.png,3,3,3
0002074.png,3,3,3
00030001.png,2,2,2
00030005.png,3,2,2
00030010.png,3,2,2
00030018.png,3,3,3
00030014.png,3,3,3
00030019.png,3,2,2
00030020.png,2,3,3
0006003.png,3,3,3
0006011.png,3,2,2
0006015.png,3,3,3
0006019.png,3,3,3
0006021.png,3,3,3
0008005.png,2,3,3
0008007.png,3,2,2
0008009.png,3,3,3
0008019.png,3,3,3
0008022.png,3,3,3
0008033.png,3,3,3
0008034.png,3,3,3
0009008.png,2,2,2
0009005.png,2,2,2
0009012.png,2,2,2
0009013.png,2,2,2
0009014.png,2,2,2
0009022.png,2,2,2
0009031.png,2,2,2
0009036.png,2,1,1
0009040.png,2,2,2
0009047.png,2,2,2
0009048.png,2,2,2
0011006.png,2,3,3
0011008.png,3,2,2
0011032.png,2,2,2
0011026.png,2,2,2
0011033.png,2,2,2
0012001.png,2,1,1
0012004.png,2,2,2
0012014.png,2,2,2
0013006.png,2,2,2
0013008.png,2,2,2
0013016.png,2,2,2
0014010.png,2,2,2
0014013.png,2,1,1
0014019.png,2,2,2
0014018.png,2,2,2
0015012.png,3,3,3
0015013.png,3,3,3
0015016.png,2,2,2
0014012.png,2,2,2
0015018.png,2,2,2
0016004.png,2,2,2
0016006.png,2,1,1
0016007.png,2,2,2
0016014.png,2,2,2
0016021.png,2,2,2
0016026.png,2,2,2
0016028.png,2,2,2
0020003.png,2,1,1
0020006.png,2,2,2
0022003.png,2,2,2
0022005.png,2,2,2
0022009.png,2,2,2
0023007.png,2,2,2
0023013.png,2,2,2
0023025.png,2,2,2
0023030.png,2,3,3
0023033.png,2,2,2
0024004.png,2,1,1
0024008.png,2,2,2
0024009.png,2,2,2
0024012.png,2,2,2
0024022.png,2,1,1
0024037.png,2,2,2
0024038.png,2,2,2
0024054.png,2,2,2
0024070.png,2,2,2
0025002.png,2,2,2
0025003.png,2,2,2
0025004.png,2,2,2
0025012.png,2,2,2
0025009.png,2,2,2
0025018.png,2,2,2
0025021.png,2,2,2
0025022.png,2,2,2
0026012.png,2,2,2
0026013.png,2,2,2
0025069.png,2,2,2
0026015.png,2,2,2
0026017.png,2,2,2
0100012.png,3,3,3
0100017.png,3,3,3
0100019.png,3,3,3
0100029.png,3,3,3
0100034.png,3,3,3
0100057.png,3,3,3
0100056.png,3,2,2
0100067.png,3,3,3
0101007.png,3,3,3
0101004.png,3,2,2
