image_id,image_path,ground_truth,predicted,sim_0,sim_1,sim_2,sim_3,p_0,p_1,p_2,p_3,stderr,returncode
40010001.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010001.png,1,0,30.052947998046875,29.74567985534668,30.033552169799805,28.65379524230957,0.337490051984787,0.2482081949710846,0.3310072124004364,0.08329456299543381,,0
40010011.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010011.png,1,2,29.878299713134766,29.60847282409668,29.994218826293945,28.757566452026367,0.31128817796707153,0.23767215013504028,0.34954705834388733,0.10149259120225906,,0
40010021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010021.png,1,2,30.316329956054688,29.885568618774414,30.482223510742188,28.96924591064453,0.32357653975486755,0.21032929420471191,0.38196513056755066,0.08412903547286987,,0
40010029.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010029.png,1,2,30.52758026123047,30.2149658203125,30.63035011291504,29.314607620239258,0.3187677264213562,0.23318877816200256,0.3532699644565582,0.09477353096008301,,0
40010036.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010036.png,1,2,30.70938491821289,30.206008911132812,30.875804901123047,29.250478744506836,0.3313401937484741,0.20029067993164062,0.391335666179657,0.07703343033790588,,0
40010037.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010037.png,1,2,30.32767105102539,29.939348220825195,30.554039001464844,29.100605010986328,0.31004080176353455,0.21026763319969177,0.3888026177883148,0.09088890254497528,,0
40010042.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010042.png,1,2,30.489381790161133,30.249332427978516,30.567508697509766,29.231231689453125,0.31725606322288513,0.24955013394355774,0.3430362343788147,0.09015758335590363,,0
40010049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010049.png,1,2,31.109905242919922,30.64240264892578,31.278682708740234,29.697572708129883,0.3274398446083069,0.2051623910665512,0.3876418173313141,0.0797559842467308,,0
40010044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010044.png,1,2,31.00416374206543,30.64046859741211,31.165611267089844,29.70111656188965,0.31826695799827576,0.22122833132743835,0.3740307688713074,0.0864739641547203,,0
40010054.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010054.png,1,2,30.587678909301758,30.217796325683594,30.653249740600586,29.248214721679688,0.3310633599758148,0.22870369255542755,0.35349899530410767,0.08673396706581116,,0
40010058.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010058.png,1,2,30.78999900817871,30.2999267578125,31.009990692138672,29.43056869506836,0.32098037004470825,0.19662682712078094,0.39996281266212463,0.08243001252412796,,0
40010064.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010064.png,1,2,30.50469207763672,30.124401092529297,30.602323532104492,29.29839515686035,0.3240942060947418,0.22157104313373566,0.35733214020729065,0.0970025584101677,,0
40010067.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010067.png,1,2,30.432022094726562,29.958980560302734,30.520843505859375,29.018815994262695,0.33791184425354004,0.21055428683757782,0.3692989647388458,0.08223483711481094,,0
40010084.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010084.png,1,2,30.434947967529297,30.02043914794922,30.593828201293945,29.23562240600586,0.31905460357666016,0.21078811585903168,0.37399500608444214,0.09616222977638245,,0
40010082.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010082.png,1,2,30.741783142089844,30.11031723022461,30.98910140991211,29.318416595458984,0.32751449942588806,0.17417602241039276,0.41941067576408386,0.07889878004789352,,0
40010089.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010089.png,1,2,30.743724822998047,30.381620407104492,30.97368812561035,29.48583984375,0.30873554944992065,0.21494467556476593,0.38856029510498047,0.08775950223207474,,0
40010095.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010095.png,1,2,30.376821517944336,30.000761032104492,30.57512092590332,29.151248931884766,0.31255102157592773,0.21458527445793152,0.3811020255088806,0.09176171571016312,,0
40010098.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010098.png,1,2,31.210342407226562,30.631620407104492,31.433319091796875,29.73706817626953,0.3289928734302521,0.18443813920021057,0.41117244958877563,0.0753965675830841,,0
