index,image_id,image_path,ground_truth,predicted,raw_answer,stderr,returncode
0,40010001.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010001.png,1,2,"Behaviors: The students in the classroom are seated at desks with laptops open in front of them. They appear to be engaged in a lecture or presentation, as indicated by their focused attention on the speaker and the presence of writing materials.
Posture: The students are sitting upright in their chairs, suggesting that they are attentive and actively participating in the class.
Rating: 2",,0
1,40010011.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010011.png,1,2,"Behaviors: The students in the classroom are seated at desks and appear to be engaged in an activity that involves writing or taking notes. They seem focused on their tasks.
Posture: Most of the students are sitting upright with their attention directed towards their work.
Rating: 2",,0
2,40010021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010021.png,1,2,"Behaviors: The students in the classroom are seated at desks and appear to be engaged in an activity that involves writing or taking notes. Some students may also be looking at a teacher or speaker who is standing at the front of the room.

Posture: The students are sitting upright, with their attention directed towards the front of the room where the teacher or speaker is likely providing instruction or guidance.

Rating: 2",,0
3,40010029.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010029.png,1,2,"Behaviors: The students in the classroom are seated at desks and appear to be engaged in an activity that involves writing or taking notes. They seem focused on their tasks.
Posture: Most of the students are sitting upright with their attention directed towards the front of the room, where a teacher is likely leading the class.
Rating: 2",,0
4,40010036.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010036.png,1,2,"Behaviors: The students in the classroom are seated at desks with laptops open in front of them. They appear to be engaged in a lecture or presentation, as indicated by their focused attention on the speaker and the presence of writing materials.
Posture: The students are sitting upright in their chairs, suggesting that they are attentive and actively participating in the class.
Rating: 2",,0
5,40010037.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010037.png,1,2,"Behaviors: The students in the classroom are sitting at desks with their heads down, focusing on their work. Some of them appear to be writing or reading, while others may be resting their heads on their hands or using devices like laptops or cell phones.

Posture: The majority of the students have a posture that suggests they are engaged in their tasks, as they are sitting upright and leaning forward slightly over their desks. Their visual attention seems to be directed towards their work or the teacher at the front of the room.

Rating: 2",,0
6,40010042.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010042.png,1,2,"Behaviors: The students in the classroom are sitting at desks and appear to be engaged in an activity that involves writing or taking notes. Some students may also be using devices such as laptops or tablets.
Posture: The students are seated upright with their attention directed towards the front of the room, where a teacher is likely leading a lecture or discussion.
Rating: 2",,0
7,40010049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010049.png,1,2,"Behaviors: The students in the classroom are seated at desks with laptops open in front of them. They appear to be engaged in a lecture or presentation, as indicated by their focused attention on the speaker and the presence of writing materials.
Posture: The students are sitting upright in their chairs, suggesting that they are attentive and actively participating in the class.
Rating: 2",,0
8,40010044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010044.png,1,2,"Behaviors: The students in the classroom are sitting at desks and appear to be engaged in an activity that involves writing or taking notes. Some students may also be using devices such as laptops or tablets.
Posture: The students are seated upright with their attention directed towards the front of the room, where a teacher is likely providing instruction or leading a discussion.
Rating: 2",,0
9,40010054.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010054.png,1,2,"Behaviors: The students in the classroom are seated at desks and appear to be engaged in an activity that involves writing or taking notes. Some students may also be using devices such as laptops or tablets.
Posture: The students are sitting upright with their attention directed towards the front of the room, where a teacher is likely providing instruction or leading a discussion.
Rating: 2",,0
