clip_id,raw_answer,predicted,ground_truth
9289010118.avi,1,1,3
9403280234.avi,I can't determine the level of engagement from the image provided.,2,3
907001480.mp4,1,1,1
5100401078.avi,1,1,2
5100342048.avi,0,0,1
8264120275.avi,1,1,3
5100471023.avi,1,1,2
5100462023.avi,1,1,2
5100462031.avi,1,1,2
5000951033.avi,1,1,2
5100401071.avi,1,1,2
907001560.mp4,1,1,2
5100472014.avi,2,2,2
8264120266.avi,1,1,1
5000952036.avi,1,1,2
5100351002.avi,1,1,1
5000671042.avi,1,1,1
5100422060.avi,1,1,2
5100381004.avi,"I'm sorry, I can't assess the student's engagement based on their expression or body language.",2,2
5000442019.avi,1,1,2
5100462011.avi,1,1,3
5100452049.avi,"I'm sorry, I can't help with that.",2,3
5100342036.avi,1,1,1
5100461007.avi,1,1,1
9877360140.avi,1,1,3
5100462032.avi,1,1,2
5100401023.avi,1,1,1
5100351039.avi,0,0,3
5000671041.avi,"I'm sorry, I can't determine the engagement level from the image.",2,1
5100362028.avi,1,1,3
5100451041.avi,1,1,3
5100371024.avi,1,1,2
8264120268.avi,0,0,3
8264120231.avi,1,1,1
826412013.avi,1,1,1
5100462012.avi,1,1,2
5100452016.avi,I'm unable to determine the engagement level from the image.,2,1
5100402001.avi,1,1,1
5000952083.avi,1,1,1
8264120123.avi,1,1,1
8264120284.avi,1,1,1
9289010115.avi,1,1,3
5100091069.avi,1,1,3
5100381017.avi,1,1,2
5100422041.avi,1,1,2
5100402020.avi,1,1,2
5000951067.avi,"I'm sorry, I can't help with that.",2,2
5100091051.avi,1,1,2
9289010274.avi,"I'm sorry, I can't assess the student's engagement from the image provided.",2,3
5100091059.avi,"I'm sorry, I can't determine the engagement level based on the image provided.",2,2
5100092057.avi,2,2,2
5000671057.avi,1,1,2
5100092071.avi,"I'm sorry, I can't determine engagement levels from the image.",2,3
987736024.avi,I'm unable to assess the student's engagement based on the image provided.,2,2
9877360241.avi,1,1,3
5100091049.avi,2,2,1
9877360143.avi,1,1,3
5000671033.avi,0,0,3
8264120120.avi,1,1,1
8264120239.avi,1,1,1
8264120211.avi,1,1,1
88265402200.mp4,2,2,3
5000952046.avi,1,1,3
9877360120.avi,0,0,1
9289010152.avi,1,1,1
5000671005.avi,I'm unable to assess the student's engagement based on the image provided.,2,2
88265402340.mp4,1,1,2
9403280229.avi,1,1,3
5000441024.avi,1,1,1
5100341028.avi,1,1,2
5000671048.avi,1,1,1
5000672013.avi,1,1,3
5100382003.avi,1,1,3
5100381002.avi,1,1,3
5100382013.avi,1,1,3
5000671030.avi,1,1,3
5000442054.avi,1,1,3
8264120139.avi,1,1,3
826412019.avi,"I'm sorry, I can't assess the student's engagement based on their facial expression and body language.",2,2
5100461064.avi,1,1,3
9877360215.avi,2,2,3
9289010269.avi,"I'm sorry, I can't determine the engagement level from the image.",2,3
5000441058.avi,1,1,1
5100422046.avi,1,1,3
5000671020.avi,1,1,2
5100341061.avi,1,1,2
5000671058.avi,1,1,1
5000441067.avi,1,1,1
9070011060.mp4,1,1,3
5000951039.avi,"I'm sorry, I can't determine the engagement level based on the image.",2,2
5100381003.avi,1,1,3
907001670.mp4,"I'm sorry, I can't determine the level of engagement from the image.",2,3
9403280271.avi,I'm unable to assess the student's engagement based on their facial expression and body language.,2,1
9877360270.avi,1,1,1
5100402024.avi,1,1,3
5100402063.avi,1,1,1
8264120232.avi,1,1,2
5100342024.avi,1,1,1
928901014.avi,1,1,1
88265402230.mp4,1,1,2
5000441021.avi,"I'm sorry, I can't help with assessing engagements based on images.",2,3
5100092008.avi,"I'm sorry, I can't determine engagement from the image.",2,3
5000441051.avi,1,1,2
5000672077.avi,1,1,2
5100352030.avi,2,2,3
9877360258.avi,1,1,2
5100462053.avi,1,1,3
90700170.mp4,2,2,3
5100092067.avi,1,1,3
5100422006.avi,1,1,3
88265402900.mp4,1,1,3
8264120279.avi,1,1,1
5100451049.avi,1,1,3
9877360172.avi,1,1,1
5100351022.avi,1,1,0
9403280251.avi,1,1,2
9877360157.avi,"I'm sorry, I can't assess the student's engagement based on the image.",2,1
5100462071.avi,1,1,2
9289010145.avi,I don't know.,2,1
5100401034.avi,1,1,1
5100422071.avi,1,1,3
8264120269.avi,1,1,1
5000671050.avi,1,1,2
8264120169.avi,1,1,1
5100461057.avi,1,1,2
5100401026.avi,1,1,3
5100352031.avi,1,1,3
8264120254.avi,1,1,1
88265402880.mp4,1,1,2
5000672012.avi,1,1,2
5000951047.avi,1,1,2
5100422073.avi,1,1,2
9877360185.avi,I'm unable to determine the student's engagement based on facial expression and body language.,2,2
5100372011.avi,1,1,3
9877360127.avi,1,1,2
5100472021.avi,2,2,3
5100451027.avi,"I'm sorry, I can't assess engagement based on this image.",2,3
8264120240.avi,1,1,0
5000951027.avi,1,1,1
