clip_id,raw_answer,predicted,ground_truth
9289010118.avi,"Expression: The student appears focused and is looking directly at the camera.
Posture: The student is sitting in a room with headphones on.
Rating: 2",2,3
9403280234.avi,"Expression: The student appears to be looking directly at the camera with a neutral facial expression.
Posture: The student is sitting comfortably in a chair, with their headphones on and hands resting close to them.
Rating: 2",2,3
907001480.mp4,"Expression: The student appears to have a serious or contemplative facial expression. Their mouth is slightly open, and they seem focused on something outside of the frame.
Posture: The student is seated in front of a computer with their head resting on one hand while looking down at the monitor, and their other hand is supporting their chin. They are wearing glasses.
Rating: 2 [The student appears to be engaged but not highly engaged.]",2,1
5100401078.avi,"Expression: The student appears focused and attentive, looking directly at the camera.
Posture: They are sitting upright with a neutral posture.
Rating: 2 (engaged)",2,2
5100342048.avi,"Expression: The student appears to be focused and attentive, with a slight smile. They seem relaxed and engaged in the content they're watching.
Posture: The student is sitting upright with their chin resting on their hand.
Rating: 2 - The student seems to be actively engaged but not fully immersed or absorbed in the content.",2,1
8264120275.avi,"Expression: The student appears to be frowning or concentrating.
Posture: The student is leaning forward slightly, with their body facing the camera.
Rating: 2",2,3
5100471023.avi,"Expression: The student appears to be focused and pensive, with a thoughtful expression on their face.
Posture: They are seated at a table or desk in a room that could be a study or office space.
Rating: 2 (engaged but not highly engaged)",2,2
5100462023.avi,"Expression: The student appears to be looking downward with a neutral or possibly slightly disinterested expression.
Posture: The student is sitting at a desk, but their body posture seems relaxed and not very engaged in the video they are watching.
Rating: 1",1,2
5100462031.avi,"Expression: The student has a neutral and slightly puzzled look on their face. They are not making any expressive gestures or facial expressions that would indicate intense focus or engagement with the video.
Posture: The student is seated at a desk, looking directly at the camera with headphones around their neck. Their posture suggests they are actively engaged in listening to the educational material.
Rating: 2 [This person appears to be engaged in the activity at hand, but their facial expression does not indicate high engagement or interest.]",2,2
5000951033.avi,"Expression: The student has a neutral expression on his face.
Posture: He is sitting in front of the laptop, facing forward with one hand near his chin and the other on the desk.
Rating: 2",2,2
5100401071.avi,"Expression: The student has a neutral facial expression.
Posture: The student is sitting with their head looking downwards, seemingly away from the camera.
Rating: 2",2,2
907001560.mp4,"Expression: The student appears to be making a face or reacting in some way.
Posture: She is sitting at a desk with her head tilted to one side.
Rating: 1",1,2
5100472014.avi,"Expression: The student appears to be concentrating and looking down.
Posture: They are sitting on a red chair in front of a mirror.
Rating: 2",2,2
8264120266.avi,"Expression: The student has a somewhat contemplative or thoughtful expression, with their hand near their face.
Posture: They appear to be seated and leaning slightly forward.
Rating: 2",2,1
5000952036.avi,"Expression: The student appears to be sitting with a neutral expression.
Posture: He is seated in front of the camera, looking directly at it.
Rating: 2 [He seems to be paying attention and focused on the content he's viewing.]",2,2
5100351002.avi,"Expression: The student appears to be concentrating and focused.
Posture: He is sitting comfortably in a chair with headphones on, seemingly absorbed in the video.
Rating: 2",2,1
5000671042.avi,"Expression: The student appears to be looking down and focused.
Posture: The student is seated with a somewhat relaxed body posture, but their head is turned slightly away from the camera.
Rating: 2",2,1
5100422060.avi,"Expression: The person appears to be looking directly at the camera with a neutral or slightly contemplative expression.
Posture: They are seated in front of a wall, facing forward towards the camera, and appear to be relaxed, possibly listening to music or about to start watching an educational video.
Rating: 3 [highly engaged]",3,2
5100381004.avi,"Expression: The student appears to have a neutral facial expression, with no strong emotions evident.
Posture: The student is sitting in front of the camera, looking towards it.
Rating: 2 [barely engaged]",2,2
5000442019.avi,"Expression: The student appears to be focused and attentive, looking directly at the camera.
Posture: The student is sitting with their hands together on their lap.
Rating: 2",2,2
5100462011.avi,"Expression: The student appears to be looking directly at the camera, with a neutral expression.
Posture: The student is seated comfortably in front of a wall adorned with posters.
Rating: 2",2,3
