clip_id,raw_answer,predicted,ground_truth
9289010118.avi,not very,1,3
9403280234.avi,not very,1,3
907001480.mp4,not very,1,1
5100401078.avi,not very,1,2
5100342048.avi,not very,1,1
8264120275.avi,not,1,3
5100471023.avi,not very,1,2
5100462023.avi,not at all,0,2
5100462031.avi,not at all,0,2
5000951033.avi,not very,1,2
5100401071.avi,not very,1,2
907001560.mp4,not very,1,2
5100472014.avi,not very,1,2
8264120266.avi,not very,1,1
5000952036.avi,not very,1,2
5100351002.avi,not very,1,1
5000671042.avi,not at all,0,1
5100422060.avi,not at all,0,2
5100381004.avi,not very,1,2
5000442019.avi,not very,1,2
5100462011.avi,not at all,0,3
5100452049.avi,not very,1,3
5100342036.avi,not very,1,1
5100461007.avi,not at all,0,1
9877360140.avi,not very,1,3
5100462032.avi,not at all,0,2
5100401023.avi,not very,1,1
5100351039.avi,not very,1,3
5000671041.avi,not at all,0,1
5100362028.avi,not very,1,3
5100451041.avi,not very,1,3
5100371024.avi,not very,1,2
8264120268.avi,not very,1,3
8264120231.avi,not very,1,1
826412013.avi,not very,1,1
5100462012.avi,not at all,0,2
5100452016.avi,not very,1,1
5100402001.avi,not very,1,1
5000952083.avi,not very,1,1
8264120123.avi,not very,1,1
8264120284.avi,not very,1,1
9289010115.avi,not very,1,3
5100091069.avi,not very,1,3
5100381017.avi,not very,1,2
5100422041.avi,not at all,0,2
5100402020.avi,not very,1,2
5000951067.avi,not very,1,2
5100091051.avi,not very,1,2
9289010274.avi,not very,1,3
5100091059.avi,not very,1,2
5100092057.avi,not very,1,2
5000671057.avi,not at all,0,2
5100092071.avi,not very,1,3
987736024.avi,not very,1,2
9877360241.avi,not very,1,3
5100091049.avi,not very,1,1
9877360143.avi,not very,1,3
5000671033.avi,not at all,0,3
8264120120.avi,not very,1,1
8264120239.avi,not very,1,1
8264120211.avi,not very,1,1
88265402200.mp4,not very,1,3
5000952046.avi,not very,1,3
9877360120.avi,not very,1,1
9289010152.avi,not very,1,1
5000671005.avi,not at all,0,2
88265402340.mp4,not very,1,2
9403280229.avi,not very,1,3
5000441024.avi,not very,1,1
5100341028.avi,not very,1,2
5000671048.avi,not at all,0,1
5000672013.avi,not at all,0,3
5100382003.avi,not very,1,3
5100381002.avi,not very,1,3
5100382013.avi,not very,1,3
5000671030.avi,not,1,3
5000442054.avi,not very,1,3
8264120139.avi,not very,1,3
826412019.avi,not very,1,2
5100461064.avi,not at all,0,3
9877360215.avi,not very,1,3
9289010269.avi,not at all,0,3
5000441058.avi,not very,1,1
5100422046.avi,not at all,0,3
5000671020.avi,not at all,0,2
5100341061.avi,not very,1,2
5000671058.avi,not at all,0,1
5000441067.avi,not,1,1
9070011060.mp4,not very,1,3
5000951039.avi,not,1,2
5100381003.avi,not very,1,3
907001670.mp4,not very,1,3
9403280271.avi,not very,1,1
9877360270.avi,not very,1,1
5100402024.avi,not very,1,3
5100402063.avi,not very,1,1
8264120232.avi,not very,1,2
5100342024.avi,not very,1,1
928901014.avi,not at all,0,1
